Question,LLM,Type,Iteration,Readability&Style,Correctness,Efficiency,Simplicity,Error Handling,Example , IO
Q5,Llama2,NCH,5,8,2,5,8,2,3,3
Q5,Llama2,NCH,6,6,2,4,6,2,4,5
Q5,Llama2,NCH,7,5,1,2,3,1,2,2
Q5,Llama2,NCH,8,7,2,3,5,2,3,3
Q5,Llama2,NCH,9,9,6,7,7,10,6,7
Q5,Llama2,NCH,10,6,3,7,7,3,6,6
Q5,Llama2,SCH,1,6,4,4,4,3,5,5
Q5,Llama2,SCH,2,9,4,6,7,5,6,7
Q5,Llama2,SCH,3,6,2,4,3,2,3,8
Q5,Llama2,SCH,4,8,1,5,5,2,5,9
Q5,Llama2,SCH,5,8,1,3,2,2,4,4
Q5,Llama2,SCH,6,6,1,3,3,2,3,3
Q5,Llama2,SCH,7,8,2,3,4,2,3,4
Q5,Llama2,SCH,8,7,3,4,4,3,8,6
Q5,Llama2,SCH,9,8,3,5,4,2,6,8
Q5,Llama2,SCH,10,8,4,4,4,3,8,9
Q8,GPT4,NCH,1,9,9,9,10,8,9,10
Q8,GPT4,NCH,2,9,9,9,9,8,10,9
Q8,GPT4,NCH,3,9,9,8,9,7,9,9
Q8,GPT4,NCH,4,9,10,9,10,8,10,9
Q8,GPT4,NCH,5,9,9,10,9,8,9,10
Q8,GPT4,NCH,6,9,10,9,10,8,9,10
Q8,GPT4,NCH,7,9,9,9,9,7,10,9
Q8,GPT4,NCH,8,9,9,9,9,7,9,9
Q8,GPT4,NCH,9,9,10,9,10,8,10,9
Q8,GPT4,NCH,10,9,9,10,10,7,9,9
Q8,GPT4,SCH,1,9,9,10,9,9,10,10
Q8,GPT4,SCH,2,8,9,8,8,9,9,9
Q8,GPT4,SCH,3,9,9,10,9,9,9,9
Q8,GPT4,SCH,4,8,9,9,9,8,9,9
Q8,GPT4,SCH,5,8,9,8,8,8,9,9
Q8,GPT4,SCH,6,6,8,9,9,4,9,7
Q8,GPT4,SCH,7,8,10,9,9,7,9,8
Q8,GPT4,SCH,8,8,10,8,9,7,10,8
Q8,GPT4,SCH,9,8,9,7,9,7,8,8
Q8,GPT4,SCH,10,9,8,7,7,8,9,9
Q8,PaLM2,NCH,1,8,10,8,9,9,9,9
Q8,PaLM2,NCH,2,8,8,7,8,7,9,9
Q8,PaLM2,NCH,3,9,9,7,8,9,8,9
Q8,PaLM2,NCH,4,9,10,8,9,8,9,9
Q8,PaLM2,NCH,5,9,9,8,9,9,9,10
Q8,PaLM2,NCH,6,8,9,7,8,7,8,9
Q8,PaLM2,NCH,7,8,9,8,8,8,9,9
Q8,PaLM2,NCH,8,9,8,8,9,8,8,9
Q8,PaLM2,NCH,9,8,9,7,8,8,9,9
Q8,PaLM2,NCH,10,8,9,9,9,7,8,9
Q8,PaLM2,SCH,1,9,9,8,9,9,9,9
Q8,PaLM2,SCH,2,9,9,7,8,8,9,9
Q8,PaLM2,SCH,3,8,9,8,8,8,8,8
Q8,PaLM2,SCH,4,9,9,8,9,8,9,9
Q8,PaLM2,SCH,5,9,10,9,9,9,10,10
Q8,PaLM2,SCH,6,8,9,8,8,8,8,9
Q8,PaLM2,SCH,7,9,10,9,9,8,9,9
Q8,PaLM2,SCH,8,9,10,8,9,8,10,9
Q8,PaLM2,SCH,9,9,10,8,9,7,9,8
Q8,PaLM2,SCH,10,9,9,9,9,8,9,9
Q8,Llama2,NCH,1,8,6,7,7,5,9,8
Q8,Llama2,NCH,2,5,3,5,5,2,2,4
Q8,Llama2,NCH,3,7,7,6,6,4,7,6
Q8,Llama2,NCH,4,8,7,7,7,5,8,9
Q8,Llama2,NCH,5,7,6,6,5,4,8,5
Q8,Llama2,NCH,6,7,8,6,6,5,9,8
Q8,Llama2,NCH,7,6,3,2,3,1,8,7
Q8,Llama2,NCH,8,6,1,2,5,1,2,4
Q8,Llama2,NCH,9,6,4,4,6,2,5,4
Q8,Llama2,NCH,10,8,6,7,7,5,7,9
Q8,Llama2,SCH,1,6,6,5,5,3,5,8
Q8,Llama2,SCH,2,8,7,7,8,6,9,9
Q8,Llama2,SCH,3,7,5,6,6,5,8,7
Q8,Llama2,SCH,4,7,6,6,7,5,7,8
Q8,Llama2,SCH,5,7,1,1,4,1,6,8
Q8,Llama2,SCH,6,6,1,4,4,1,5,6
Q8,Llama2,SCH,7,7,2,3,4,1,2,5
Q8,Llama2,SCH,8,6,2,3,3,1,2,6
Q8,Llama2,SCH,9,7,3,4,6,2,6,8
Q8,Llama2,SCH,10,7,4,5,6,2,4,6
Q10,GPT4,NCH,1,9,9,8,9,7,10,8
Q10,GPT4,NCH,2,9,8,8,8,3,8,7
Q10,GPT4,NCH,3,9,9,9,9,5,9,9
Q10,GPT4,NCH,4,8,8,9,8,4,9,8
Q10,GPT4,NCH,5,9,9,9,9,4,9,9
Q10,GPT4,NCH,6,9,9,7,8,5,9,9
Q10,GPT4,NCH,7,10,10,9,9,4,9,9
Q10,GPT4,NCH,8,9,9,9,9,5,9,8
Q10,GPT4,NCH,9,9,9,9,8,6,9,8
Q10,GPT4,NCH,10,9,9,7,8,4,9,8
Q10,GPT4,SCH,1,9,9,7,9,3,10,9
Q10,GPT4,SCH,2,9,9,9,9,5,9,9
Q10,GPT4,SCH,3,9,9,9,9,6,9,8
Q10,GPT4,SCH,4,8,9,8,9,5,9,8
Q10,GPT4,SCH,5,10,10,10,10,6,10,10
Q10,GPT4,SCH,6,9,9,9,9,6,9,8
Q10,GPT4,SCH,7,9,9,9,9,7,9,9
Q10,GPT4,SCH,8,9,9,9,9,6,9,8
Q10,GPT4,SCH,9,9,9,9,8,6,9,9
Q10,GPT4,SCH,10,9,9,9,9,6,9,8
Q10,PaLM2,NCH,1,9,7,7,8,5,7,7
Q10,PaLM2,NCH,2,7,4,3,6,2,3,5
Q10,PaLM2,NCH,3,8,7,7,9,5,8,8
Q10,PaLM2,NCH,4,8,4,5,8,3,4,7
Q10,PaLM2,NCH,5,9,9,7,9,4,8,8
Q10,PaLM2,NCH,6,9,5,9,9,5,8,9
Q10,PaLM2,NCH,7,9,9,9,9,4,9,9
Q10,PaLM2,NCH,8,7,5,8,9,4,8,7
Q10,PaLM2,NCH,9,8,8,7,8,5,7,8
Q10,PaLM2,NCH,10,8,3,4,8,2,4,6
Q10,PaLM2,SCH,1,8,5,5,9,1,9,8
Q10,PaLM2,SCH,2,8,6,8,8,5,8,8
Q10,PaLM2,SCH,3,9,7,9,9,6,7,9
Q10,PaLM2,SCH,4,8,7,8,8,5,7,8
Q10,PaLM2,SCH,5,8,5,6,6,4,9,8
Q10,PaLM2,SCH,6,9,6,9,9,9,5,9
Q10,PaLM2,SCH,7,9,8,9,9,7,9,9
Q10,PaLM2,SCH,8,9,6,7,6,5,9,8
Q10,PaLM2,SCH,9,7,6,8,7,5,7,6
Q10,PaLM2,SCH,10,9,9,9,7,5,9,9
Q10,Llama2,NCH,1,7,3,3,5,2,3,4
Q10,Llama2,NCH,2,8,2,4,6,2,3,4
Q10,Llama2,NCH,3,6,4,6,5,4,6,6
Q10,Llama2,NCH,4,7,3,6,6,5,3,4
Q10,Llama2,NCH,5,7,3,6,6,4,4,5
Q10,Llama2,NCH,6,9,4,6,8,4,5,8
Q10,Llama2,NCH,7,8,5,6,6,4,6,7
Q10,Llama2,NCH,8,6,3,4,5,2,5,5
Q10,Llama2,NCH,9,8,5,6,6,4,5,6
Q10,Llama2,NCH,10,8,3,4,8,2,4,7
Q10,Llama2,SCH,1,7,3,5,6,2,5,7
Q10,Llama2,SCH,2,5,3,3,4,2,3,3
Q10,Llama2,SCH,3,8,5,6,8,6,5,6
Q10,Llama2,SCH,4,9,4,6,7,4,6,7
Q10,Llama2,SCH,5,6,3,4,4,2,7,6
Q10,Llama2,SCH,6,6,5,5,4,3,3,4
Q10,Llama2,SCH,7,7,5,6,6,5,6,6
Q10,Llama2,SCH,8,8,6,7,6,6,7,8
Q10,Llama2,SCH,9,8,3,5,4,4,4,5
Q10,Llama2,SCH,10,8,7,7,6,6,7,7
Q11,GPT4,NCH,1,8,7,7,8,5,8,9
Q11,GPT4,NCH,2,8,8,7,8,4,8,9
Q11,GPT4,NCH,3,8,8,7,9,5,8,9
Q11,GPT4,NCH,4,9,9,8,8,6,8,9
Q11,GPT4,NCH,5,9,8,8,8,5,9,9
Q11,GPT4,NCH,6,9,7,8,9,5,9,8
Q11,GPT4,NCH,7,9,8,8,9,5,9,9
Q11,GPT4,NCH,8,9,7,7,9,5,8,9
Q11,GPT4,NCH,9,8,7,7,8,4,8,8
Q11,GPT4,NCH,10,9,9,8,9,7,10,9
Q11,GPT4,SCH,1,8,7,7,8,4,9,8
Q11,GPT4,SCH,2,8,8,7,9,4,8,9
Q11,GPT4,SCH,3,7,6,5,7,4,8,8
Q11,GPT4,SCH,4,9,9,8,9,5,9,9
Q11,GPT4,SCH,5,7,6,6,8,5,7,8
Q11,GPT4,SCH,6,8,8,7,8,6,9,9
Q11,GPT4,SCH,7,8,7,8,8,5,9,9
Q11,GPT4,SCH,8,8,8,7,8,5,9,9
Q11,GPT4,SCH,9,8,7,7,8,4,9,8
Q11,GPT4,SCH,10,8,8,7,8,5,9,9
Q11,PaLM2,NCH,1,7,5,8,8,4,7,8
Q11,PaLM2,NCH,2,8,6,7,8,3,8,9
Q11,PaLM2,NCH,3,7,6,7,8,4,5,8
Q11,PaLM2,NCH,4,8,7,8,9,5,6,9
Q11,PaLM2,NCH,5,8,7,8,8,5,9,9
Q11,PaLM2,NCH,6,8,5,7,8,4,6,8
Q11,PaLM2,NCH,7,8,7,7,8,5,8,8
Q11,PaLM2,NCH,8,7,5,7,7,3,5,8
Q11,PaLM2,NCH,9,7,5,6,7,3,6,8
Q11,PaLM2,NCH,10,7,5,7,7,5,6,7
Q11,PaLM2,SCH,1,7,5,7,7,3,9,8
Q11,PaLM2,SCH,2,7,5,8,8,3,8,9
Q11,PaLM2,SCH,3,5,3,5,7,1,6,7
Q11,PaLM2,SCH,4,7,5,8,8,3,9,9
Q11,PaLM2,SCH,5,7,7,7,8,5,7,8
Q11,PaLM2,SCH,6,7,5,8,7,4,8,8
Q11,PaLM2,SCH,7,8,6,7,8,5,8,9
Q11,PaLM2,SCH,8,8,7,7,8,4,8,8
Q11,PaLM2,SCH,9,8,7,7,7,4,8,8
Q11,PaLM2,SCH,10,8,7,7,8,4,8,9
Q11,Llama2,NCH,1,5,3,3,4,2,4,4
Q11,Llama2,NCH,2,5,1,2,3,1,6,4
Q11,Llama2,NCH,3,5,3,4,5,2,3,4
Q11,Llama2,NCH,4,6,5,6,7,4,5,7
Q11,Llama2,NCH,5,6,2,5,5,3,4,5
Q11,Llama2,NCH,6,6,4,6,5,2,4,7
Q11,Llama2,NCH,7,5,3,4,4,2,4,5
Q11,Llama2,NCH,8,5,4,5,4,2,3,7
Q11,Llama2,NCH,9,5,2,2,5,1,1,4
Q11,Llama2,NCH,10,5,3,4,4,3,5,5
Q11,Llama2,SCH,1,5,2,5,5,1,5,4
Q11,Llama2,SCH,2,5,2,5,6,2,5,5
Q11,Llama2,SCH,3,4,1,4,5,1,2,6
Q11,Llama2,SCH,4,3,1,1,4,1,2,4
Q11,Llama2,SCH,5,6,3,5,6,2,7,7
Q11,Llama2,SCH,6,6,2,4,5,2,4,5
Q11,Llama2,SCH,7,5,4,5,7,2,5,5
Q11,Llama2,SCH,8,4,2,5,4,1,3,4
Q11,Llama2,SCH,9,7,5,7,8,2,8,7
Q11,Llama2,SCH,10,8,6,7,7,4,8,8
