Question,LLM,Type,Iteration,LLM answer,Score
Q1,Llama2,SCH,3,50,0
Q1,Llama2,SCH,4,33,0
Q1,Llama2,SCH,5,33,0
Q1,Llama2,SCH,6,33,0
Q1,Llama2,SCH,7,33,0
Q1,Llama2,SCH,8,33,0
Q1,Llama2,SCH,9,33,0
Q2,Llama2,SCH,10,33,0
Q2,GPT4,NCH,1,,1
Q2,GPT4,NCH,2,,1
Q2,GPT4,NCH,3,,1
Q2,GPT4,NCH,4,,1
Q2,GPT4,NCH,5,,1
Q2,GPT4,NCH,6,,1
Q2,GPT4,NCH,7,,1
Q2,GPT4,NCH,8,,1
Q2,GPT4,NCH,9,,1
Q2,GPT4,NCH,10,,1
Q2,GPT4,SCH,1,,1
Q2,GPT4,SCH,2,,1
Q2,GPT4,SCH,3,,1
Q2,GPT4,SCH,4,,1
Q2,GPT4,SCH,5,,1
Q2,GPT4,SCH,6,,1
Q2,GPT4,SCH,7,,1
Q2,GPT4,SCH,8,,1
Q2,GPT4,SCH,9,,1
Q2,GPT4,SCH,10,,1
Q2,PaLM2,NCH,1,,1
Q2,PaLM2,NCH,2,,1
Q2,PaLM2,NCH,3,,1
Q2,PaLM2,NCH,4,,1
Q2,PaLM2,NCH,5,,1
Q2,PaLM2,NCH,6,,1
Q2,PaLM2,NCH,7,,1
Q2,PaLM2,NCH,8,,1
Q2,PaLM2,NCH,9,,1
Q2,PaLM2,NCH,10,,1
Q2,PaLM2,SCH,1,,1
Q2,PaLM2,SCH,2,,1
Q2,PaLM2,SCH,3,,1
Q2,PaLM2,SCH,4,,0
Q2,PaLM2,SCH,5,,1
Q2,PaLM2,SCH,6,,1
Q2,PaLM2,SCH,7,,1
Q2,PaLM2,SCH,8,,1
Q2,PaLM2,SCH,9,,1
Q2,PaLM2,SCH,10,,1
Q2,Llama2,NCH,1,,1
Q2,Llama2,NCH,2,,1
Q2,Llama2,NCH,3,,0
Q2,Llama2,NCH,4,,1
Q2,Llama2,NCH,5,,0
Q2,Llama2,NCH,6,,0
Q2,Llama2,NCH,7,,1
Q2,Llama2,NCH,8,,0
Q2,Llama2,NCH,9,,1
Q2,Llama2,NCH,10,,1
Q2,Llama2,SCH,1,,0
Q2,Llama2,SCH,2,,1
Q2,Llama2,SCH,3,,1
Q2,Llama2,SCH,4,,1
Q2,Llama2,SCH,5,,1
Q2,Llama2,SCH,6,,1
Q2,Llama2,SCH,7,,1
Q2,Llama2,SCH,8,,1
Q2,Llama2,SCH,9,,1
Q2,Llama2,SCH,10,,1
Q3,GPT4,NCH,1,,0
Q3,GPT4,NCH,2,,1
Q3,GPT4,NCH,3,,1
Q3,GPT4,NCH,4,,1
Q3,GPT4,NCH,5,,0
Q3,GPT4,NCH,6,,1
Q3,GPT4,NCH,7,,1
Q3,GPT4,NCH,8,,1
Q3,GPT4,NCH,9,,1
Q3,GPT4,NCH,10,,0
Q3,GPT4,SCH,1,,1
Q3,GPT4,SCH,2,,1
Q3,GPT4,SCH,3,,0
Q3,GPT4,SCH,4,,1
Q3,GPT4,SCH,5,,1
Q3,GPT4,SCH,6,,1
Q3,GPT4,SCH,7,,1
Q3,GPT4,SCH,8,,1
Q3,GPT4,SCH,9,,0
Q3,GPT4,SCH,10,,0
Q3,PaLM2,NCH,1,,0
Q3,PaLM2,NCH,2,,1
Q3,PaLM2,NCH,3,,1
Q3,PaLM2,NCH,4,,1
Q3,PaLM2,NCH,5,,0
Q3,PaLM2,NCH,6,,1
Q3,PaLM2,NCH,7,,1
Q3,PaLM2,NCH,8,,1
Q3,PaLM2,NCH,9,,1
Q3,PaLM2,NCH,10,,1
Q3,PaLM2,SCH,1,,1
Q3,PaLM2,SCH,2,,1
Q3,PaLM2,SCH,3,,1
Q3,PaLM2,SCH,4,,1
Q3,PaLM2,SCH,5,,1
Q3,PaLM2,SCH,6,,1
Q3,PaLM2,SCH,7,,1
Q3,PaLM2,SCH,8,,1
Q3,PaLM2,SCH,9,,1
Q3,PaLM2,SCH,10,,1
Q3,Llama2,NCH,1,,1
Q3,Llama2,NCH,2,,1
Q3,Llama2,NCH,3,,1
Q3,Llama2,NCH,4,,1
Q3,Llama2,NCH,5,,1
Q3,Llama2,NCH,6,,1
Q3,Llama2,NCH,7,,1
Q3,Llama2,NCH,8,,1
Q3,Llama2,NCH,9,,1
Q3,Llama2,NCH,10,,1
Q3,Llama2,SCH,1,,1
Q3,Llama2,SCH,2,,1
Q3,Llama2,SCH,3,,1
Q3,Llama2,SCH,4,,1
Q3,Llama2,SCH,5,,1
Q3,Llama2,SCH,6,,1
Q3,Llama2,SCH,7,,1
Q3,Llama2,SCH,8,,1
Q3,Llama2,SCH,9,,1
Q3,Llama2,SCH,10,,1
Q4,GPT4,NCH,1,,1
Q4,GPT4,NCH,2,,1
Q4,GPT4,NCH,3,,1
Q4,GPT4,NCH,4,,1
Q4,GPT4,NCH,5,,1
Q4,GPT4,NCH,6,,1
Q4,GPT4,NCH,7,,1
Q4,GPT4,NCH,8,,1
Q4,GPT4,NCH,9,,1
Q4,GPT4,NCH,10,,1
Q4,GPT4,SCH,1,,1
Q4,GPT4,SCH,2,,1
Q4,GPT4,SCH,3,,1
Q4,GPT4,SCH,4,,1
Q4,GPT4,SCH,5,,1
Q4,GPT4,SCH,6,,1
Q4,GPT4,SCH,7,,1
Q4,GPT4,SCH,8,,1
Q4,GPT4,SCH,9,,1
Q4,GPT4,SCH,10,,1
Q4,PaLM2,NCH,1,,1
Q4,PaLM2,NCH,2,,1
Q4,PaLM2,NCH,3,,1
Q4,PaLM2,NCH,4,,1
Q4,PaLM2,NCH,5,,1
Q4,PaLM2,NCH,6,,1
Q4,PaLM2,NCH,7,,1
Q4,PaLM2,NCH,8,,1
Q4,PaLM2,NCH,9,,1
Q4,PaLM2,NCH,10,,1
Q4,PaLM2,SCH,1,,1
Q4,PaLM2,SCH,2,,1
Q4,PaLM2,SCH,3,,1
Q4,PaLM2,SCH,4,,1
Q4,PaLM2,SCH,5,,1
Q4,PaLM2,SCH,6,,1
Q4,PaLM2,SCH,7,,1
Q4,PaLM2,SCH,8,,1
Q4,PaLM2,SCH,9,,1
Q4,PaLM2,SCH,10,,1
Q4,Llama2,NCH,1,,1
Q4,Llama2,NCH,2,,1
Q4,Llama2,NCH,3,,1
Q4,Llama2,NCH,4,,0
Q4,Llama2,NCH,5,,0
Q4,Llama2,NCH,6,,0
Q4,Llama2,NCH,7,,0
Q4,Llama2,NCH,8,,0
Q4,Llama2,NCH,9,,1
Q4,Llama2,NCH,10,,0
Q4,Llama2,SCH,1,,0
Q4,Llama2,SCH,2,,0
Q4,Llama2,SCH,3,,0
Q4,Llama2,SCH,4,,0
Q4,Llama2,SCH,5,,1
Q4,Llama2,SCH,6,,1
Q4,Llama2,SCH,7,,0
Q4,Llama2,SCH,8,,0
Q4,Llama2,SCH,9,,0
Q4,Llama2,SCH,10,,0
Q5,GPT4,NCH,1,,1
Q5,GPT4,NCH,2,,1
Q5,GPT4,NCH,3,,1
Q5,GPT4,NCH,4,,1
Q5,GPT4,NCH,5,,1
Q5,GPT4,NCH,6,,1
Q5,GPT4,NCH,7,,1
Q5,GPT4,NCH,8,,1
Q5,GPT4,NCH,9,,1
Q5,GPT4,NCH,10,,1
Q5,GPT4,SCH,1,,1
Q5,GPT4,SCH,2,,1
Q5,GPT4,SCH,3,,1
Q5,GPT4,SCH,4,,1
Q5,GPT4,SCH,5,,1
Q5,GPT4,SCH,6,,1
Q5,GPT4,SCH,7,,1
Q5,GPT4,SCH,8,,1
Q5,GPT4,SCH,9,,1
Q5,GPT4,SCH,10,,1
Q5,PaLM2,NCH,1,,1
Q5,PaLM2,NCH,2,,1
Q5,PaLM2,NCH,3,,1
Q5,PaLM2,NCH,4,,1
Q5,PaLM2,NCH,5,,1
Q5,PaLM2,NCH,6,,1
Q5,PaLM2,NCH,7,,1
Q5,PaLM2,NCH,8,,1
Q5,PaLM2,NCH,9,,1
Q5,PaLM2,NCH,10,,1
Q5,PaLM2,SCH,1,,1
Q5,PaLM2,SCH,2,,1
Q5,PaLM2,SCH,3,,1
Q5,PaLM2,SCH,4,,1
Q5,PaLM2,SCH,5,,1
Q5,PaLM2,SCH,6,,1
Q5,PaLM2,SCH,7,,1
Q5,PaLM2,SCH,8,,1
Q5,PaLM2,SCH,9,,1
Q5,PaLM2,SCH,10,,1
Q5,Llama2,NCH,1,,0
Q5,Llama2,NCH,2,,0
Q5,Llama2,NCH,3,,0
Q5,Llama2,NCH,4,,0
Q5,Llama2,NCH,5,,0
Q5,Llama2,NCH,6,,0
Q5,Llama2,NCH,7,,0
Q5,Llama2,NCH,8,,0
Q5,Llama2,NCH,9,,0
Q5,Llama2,NCH,10,,0
Q5,Llama2,SCH,1,,0
Q5,Llama2,SCH,2,,0
Q5,Llama2,SCH,3,,0
Q5,Llama2,SCH,4,,0
Q5,Llama2,SCH,5,,0
Q5,Llama2,SCH,6,,0
Q5,Llama2,SCH,7,,0
Q5,Llama2,SCH,8,,0
Q5,Llama2,SCH,9,,0
Q5,Llama2,SCH,10,,0
Q6,GPT4,NCH,1,,1
Q6,GPT4,NCH,2,,1
Q6,GPT4,NCH,3,,1
Q6,GPT4,NCH,4,,1
Q6,GPT4,NCH,5,,1
Q6,GPT4,NCH,6,,1
Q6,GPT4,NCH,7,,1
Q6,GPT4,NCH,8,,1
Q6,GPT4,NCH,9,,1
Q6,GPT4,NCH,10,,1
Q6,GPT4,SCH,1,,1
Q6,GPT4,SCH,2,,1
Q6,GPT4,SCH,3,,1
Q6,GPT4,SCH,4,,1
Q6,GPT4,SCH,5,,1
Q6,GPT4,SCH,6,,1
Q6,GPT4,SCH,7,,1
Q6,GPT4,SCH,8,,1
Q6,GPT4,SCH,9,,1
Q6,GPT4,SCH,10,,1
Q6,PaLM2,NCH,1,,1
Q6,PaLM2,NCH,2,,1
Q6,PaLM2,NCH,3,,1
Q6,PaLM2,NCH,4,,1
Q6,PaLM2,NCH,5,,1
Q6,PaLM2,NCH,6,,1
Q6,PaLM2,NCH,7,,0
Q6,PaLM2,NCH,8,,1
Q6,PaLM2,NCH,9,,1
Q6,PaLM2,NCH,10,,0
Q6,PaLM2,SCH,1,,1
Q6,PaLM2,SCH,2,,1
Q6,PaLM2,SCH,3,,1
Q6,PaLM2,SCH,4,,1
Q6,PaLM2,SCH,5,,1
Q6,PaLM2,SCH,6,,1
Q6,PaLM2,SCH,7,,1
Q6,PaLM2,SCH,8,,1
Q6,PaLM2,SCH,9,,1
Q6,PaLM2,SCH,10,,1
Q6,Llama2,NCH,1,,0
Q6,Llama2,NCH,2,,0
Q6,Llama2,NCH,3,,0
Q6,Llama2,NCH,4,,0
Q6,Llama2,NCH,5,,0
Q6,Llama2,NCH,6,,0
Q6,Llama2,NCH,7,,0
Q6,Llama2,NCH,8,,0
Q6,Llama2,NCH,9,,0
Q6,Llama2,NCH,10,,0
Q6,Llama2,SCH,1,,0
Q6,Llama2,SCH,2,,0
Q6,Llama2,SCH,3,,0
Q6,Llama2,SCH,4,,0
Q6,Llama2,SCH,5,,0
Q6,Llama2,SCH,6,,0
Q6,Llama2,SCH,7,,0
Q6,Llama2,SCH,8,,0
Q6,Llama2,SCH,9,,0
Q6,Llama2,SCH,10,,0
Q7,GPT4,NCH,1,,1
Q7,GPT4,NCH,2,,1
Q7,GPT4,NCH,3,,1
Q7,GPT4,NCH,4,,1
Q7,GPT4,NCH,5,,1
Q7,GPT4,NCH,6,,1
Q7,GPT4,NCH,7,,1
Q7,GPT4,NCH,8,,1
Q7,GPT4,NCH,9,,1
Q7,GPT4,NCH,10,,1
Q7,GPT4,SCH,1,,1
Q7,GPT4,SCH,2,,1
Q7,GPT4,SCH,3,,1
Q7,GPT4,SCH,4,,1
Q7,GPT4,SCH,5,,1
Q7,GPT4,SCH,6,,1
Q7,GPT4,SCH,7,,1
Q7,GPT4,SCH,8,,1
Q7,GPT4,SCH,9,,1
Q7,GPT4,SCH,10,,1
Q7,PaLM2,NCH,1,,1
Q7,PaLM2,NCH,2,,1
Q7,PaLM2,NCH,3,,1
Q7,PaLM2,NCH,4,,1
Q7,PaLM2,NCH,5,,1
Q7,PaLM2,NCH,6,,1
Q7,PaLM2,NCH,7,,1
Q7,PaLM2,NCH,8,,1
Q7,PaLM2,NCH,9,,1
Q7,PaLM2,NCH,10,,1
Q7,PaLM2,SCH,1,,1
Q7,PaLM2,SCH,2,,1
Q7,PaLM2,SCH,3,,1
Q7,PaLM2,SCH,4,,1
Q7,PaLM2,SCH,5,,1
Q7,PaLM2,SCH,6,,1
Q7,PaLM2,SCH,7,,1
Q7,PaLM2,SCH,8,,1
Q7,PaLM2,SCH,9,,1
Q7,PaLM2,SCH,10,,1
Q7,Llama2,NCH,1,,0
Q7,Llama2,NCH,2,,0
Q7,Llama2,NCH,3,,0
Q7,Llama2,NCH,4,,0
Q7,Llama2,NCH,5,,0
Q7,Llama2,NCH,6,,0
Q7,Llama2,NCH,7,,0
Q7,Llama2,NCH,8,,0
Q7,Llama2,NCH,9,,0
Q7,Llama2,NCH,10,,0
Q7,Llama2,SCH,1,,0
Q7,Llama2,SCH,2,,0
Q7,Llama2,SCH,3,,0
Q7,Llama2,SCH,4,,0
Q7,Llama2,SCH,5,,0
Q7,Llama2,SCH,6,,0
Q7,Llama2,SCH,7,,0
Q7,Llama2,SCH,8,,0
Q7,Llama2,SCH,9,,0
Q7,Llama2,SCH,10,,0
Q8,GPT4,NCH,1,,1
Q8,GPT4,NCH,2,,1
Q8,GPT4,NCH,3,,1
Q8,GPT4,NCH,4,,1
Q8,GPT4,NCH,5,,1
Q8,GPT4,NCH,6,,1
Q8,GPT4,NCH,7,,1
Q8,GPT4,NCH,8,,1
Q8,GPT4,NCH,9,,1
Q8,GPT4,NCH,10,,1
Q8,GPT4,SCH,1,,1
Q8,GPT4,SCH,2,,1
Q8,GPT4,SCH,3,,1
Q8,GPT4,SCH,4,,1
Q8,GPT4,SCH,5,,1
Q8,GPT4,SCH,6,,1
Q8,GPT4,SCH,7,,1
Q8,GPT4,SCH,8,,1
Q8,GPT4,SCH,9,,1
Q8,GPT4,SCH,10,,1
Q8,PaLM2,NCH,1,,1
Q8,PaLM2,NCH,2,,1
Q8,PaLM2,NCH,3,,1
Q8,PaLM2,NCH,4,,1
Q8,PaLM2,NCH,5,,1
Q8,PaLM2,NCH,6,,1
Q8,PaLM2,NCH,7,,1
Q8,PaLM2,NCH,8,,1
Q8,PaLM2,NCH,9,,1
Q8,PaLM2,NCH,10,,1
Q8,PaLM2,SCH,1,,1
Q8,PaLM2,SCH,2,,1
Q8,PaLM2,SCH,3,,1
Q8,PaLM2,SCH,4,,1
Q8,PaLM2,SCH,5,,1
Q8,PaLM2,SCH,6,,1
Q8,PaLM2,SCH,7,,1
Q8,PaLM2,SCH,8,,1
Q8,PaLM2,SCH,9,,1
Q8,PaLM2,SCH,10,,1
Q8,Llama2,NCH,1,,1
Q8,Llama2,NCH,2,,1
Q8,Llama2,NCH,3,,1
Q8,Llama2,NCH,4,,1
Q8,Llama2,NCH,5,,1
Q8,Llama2,NCH,6,,1
Q8,Llama2,NCH,7,,1
Q8,Llama2,NCH,8,,1
Q8,Llama2,NCH,9,,1
Q8,Llama2,NCH,10,,1
Q8,Llama2,SCH,1,,1
Q8,Llama2,SCH,2,,1
Q8,Llama2,SCH,3,,1
Q8,Llama2,SCH,4,,1
Q8,Llama2,SCH,5,,1
Q8,Llama2,SCH,6,,1
Q8,Llama2,SCH,7,,1
Q8,Llama2,SCH,8,,1
Q8,Llama2,SCH,9,,1
Q8,Llama2,SCH,10,,1
Q9,GPT4,NCH,1,,1
Q9,GPT4,NCH,2,,1
Q9,GPT4,NCH,3,,1
Q9,GPT4,NCH,4,,1
Q9,GPT4,NCH,5,,1
Q9,GPT4,NCH,6,,1
Q9,GPT4,NCH,7,,1
Q9,GPT4,NCH,8,,1
Q9,GPT4,NCH,9,,1
Q9,GPT4,NCH,10,,1
Q9,GPT4,SCH,1,,1
Q9,GPT4,SCH,2,,1
Q9,GPT4,SCH,3,,1
Q9,GPT4,SCH,4,,1
Q9,GPT4,SCH,5,,1
Q9,GPT4,SCH,6,,1
Q9,GPT4,SCH,7,,1
Q9,GPT4,SCH,8,,1
Q9,GPT4,SCH,9,,1
Q9,GPT4,SCH,10,,1
Q9,PaLM2,NCH,1,,1
Q9,PaLM2,NCH,2,,1
Q9,PaLM2,NCH,3,,1
Q9,PaLM2,NCH,4,,1
Q9,PaLM2,NCH,5,,1
Q9,PaLM2,NCH,6,,1
Q9,PaLM2,NCH,7,,1
Q9,PaLM2,NCH,8,,1
Q9,PaLM2,NCH,9,,1
Q9,PaLM2,NCH,10,,1
Q9,PaLM2,SCH,1,,1
Q9,PaLM2,SCH,2,,1
Q9,PaLM2,SCH,3,,1
Q9,PaLM2,SCH,4,,1
Q9,PaLM2,SCH,5,,1
Q9,PaLM2,SCH,6,,1
Q9,PaLM2,SCH,7,,1
Q9,PaLM2,SCH,8,,1
Q9,PaLM2,SCH,9,,1
Q9,PaLM2,SCH,10,,1
Q9,Llama2,NCH,1,,1
Q9,Llama2,NCH,2,,1
Q9,Llama2,NCH,3,,1
Q9,Llama2,NCH,4,,1
Q9,Llama2,NCH,5,,1
Q9,Llama2,NCH,6,,1
Q9,Llama2,NCH,7,,1
Q9,Llama2,NCH,8,,1
Q9,Llama2,NCH,9,,1
Q9,Llama2,NCH,10,,1
Q9,Llama2,SCH,1,,1
Q9,Llama2,SCH,2,,1
Q9,Llama2,SCH,3,,1
Q9,Llama2,SCH,4,,1
Q9,Llama2,SCH,5,,1
Q9,Llama2,SCH,6,,1
Q9,Llama2,SCH,7,,1
Q9,Llama2,SCH,8,,1
Q9,Llama2,SCH,9,,1
Q9,Llama2,SCH,10,,1
Q10,GPT4,NCH,1,,1
Q10,GPT4,NCH,2,,1
Q10,GPT4,NCH,3,,1
Q10,GPT4,NCH,4,,1
Q10,GPT4,NCH,5,,1
Q10,GPT4,NCH,6,,1
Q10,GPT4,NCH,7,,1
Q10,GPT4,NCH,8,,1
Q10,GPT4,NCH,9,,1
Q10,GPT4,NCH,10,,1
Q10,GPT4,SCH,1,,1
Q10,GPT4,SCH,2,,1
Q10,GPT4,SCH,3,,1
Q10,GPT4,SCH,4,,1
Q10,GPT4,SCH,5,,1
Q10,GPT4,SCH,6,,1
Q10,GPT4,SCH,7,,1
Q10,GPT4,SCH,8,,1
Q10,GPT4,SCH,9,,1
Q10,GPT4,SCH,10,,1
Q10,PaLM2,NCH,1,,1
Q10,PaLM2,NCH,2,,1
Q10,PaLM2,NCH,3,,1
Q10,PaLM2,NCH,4,,1
Q10,PaLM2,NCH,5,,1
Q10,PaLM2,NCH,6,,1
Q10,PaLM2,NCH,7,,1
Q10,PaLM2,NCH,8,,1
Q10,PaLM2,NCH,9,,1
Q10,PaLM2,NCH,10,,1
Q10,PaLM2,SCH,1,,1
Q10,PaLM2,SCH,2,,1
Q10,PaLM2,SCH,3,,1
Q10,PaLM2,SCH,4,,1
Q10,PaLM2,SCH,5,,1
Q10,PaLM2,SCH,6,,1
Q10,PaLM2,SCH,7,,1
Q10,PaLM2,SCH,8,,1
Q10,PaLM2,SCH,9,,1
Q10,PaLM2,SCH,10,,1
Q10,Llama2,NCH,1,,1
Q10,Llama2,NCH,2,,1
Q10,Llama2,NCH,3,,0
Q10,Llama2,NCH,4,,1
Q10,Llama2,NCH,5,,1
Q10,Llama2,NCH,6,,1
Q10,Llama2,NCH,7,,1
Q10,Llama2,NCH,8,,1
Q10,Llama2,NCH,9,,1
Q10,Llama2,NCH,10,,1
Q10,Llama2,SCH,1,,1
Q10,Llama2,SCH,2,,1
Q10,Llama2,SCH,3,,1
Q10,Llama2,SCH,4,,1
Q10,Llama2,SCH,5,,1
Q10,Llama2,SCH,6,,1
Q10,Llama2,SCH,7,,1
Q10,Llama2,SCH,8,,1
Q10,Llama2,SCH,9,,1
Q10,Llama2,SCH,10,,1
